0,1,2,3,4,5,Llama_correct,Llama_choiceA_probs,Llama_choiceB_probs,Llama_choiceC_probs,Llama_choiceD_probs
"You bought a limousine for $98,000 and are planning to rent it for weddings, ceremonies and parties at $245 per hour. If you estimate the car will be hired for 2 hours a day on average, with daily costs at about $50, what is the estimated yearly yield on your investment if you work all year round, i.e. every day of the year, including any festivities and weekends?",164%,1.64%,0.45%,183%,A,True,0.46470267,0.19371688,0.15086687,0.19071358
Arno Co. did not record a credit purchase of merchandise made prior to year end. However the merchandise was correctly included in the year-end physical inventory. What effect did the omission of reporting the purchase of merchandise have on Arno's balance sheet at year end? Assets Liabilities,No effect No effect,No effect Understated,Understated No effect,Understated Understated,B,True,0.017910141,0.7615586,0.015560599,0.20497072
Which of the following statements about audit sampling risks is correct for a nonissuer?,"Nonsampling risk arises from the possibility that, when a substantive test is restricted to a sample, conclusions might be different than if the auditor had tested each item in the population.",Nonsampling risk can arise because an auditor failed to recognize misstatements.,Sampling risk is derived from the uncertainty in applying audit procedures to specific risks.,Sampling risk includes the possibility of selecting audit procedures that are not appropriate to achieve the specific objective.,B,False,0.95633096,0.035940114,0.0062454552,0.0014834256
Which of the following procedures would an auditor generally perform regarding subsequent events?,Inspect inventory items that were ordered before the year end but arrived after the year end.,Test internal control activities that were previously reported to management as inadequate.,Review the client's cutoff bank statements for several months after the year end.,Compare the latest available interim financial statements with the statements being audited.,D,True,0.0045559322,0.0055820444,0.47946945,0.51039255
The FASB makes changes to the Accounting Standards Codification by issuing,Accounting Standards Updates.,Emerging Issues Task Force Releases.,Statements of Financial Accounting Standards.,Staff Technical Bulletins.,A,True,0.96127635,0.03785969,0.00057486905,0.00028906227
"An investment project costing $500 today will generate profits of $500 in year five and year ten. If the discount rate is 10%, what is the project’s NPV?",−$3,−$27,$3,$500,C,False,0.05831337,0.11965127,0.3103518,0.5116836
On July 1 year 7 Dean Co. issued at a premium bonds with a due date of July 1 year 12. Dean incorrectly used the straight-line method instead of the effective interest method to amortize the premium. How were the following amounts affected by the error at June 30 year 12? Bond carrying Retained amount earnings,Overstated Understated,Understated Overstated,Overstated No effect,No effect No effect,D,False,0.08407519,0.5835975,0.2844227,0.0479046
"What is the price of a three-year bond (face value $100), paying 5% coupons, with a yield of 6%?",$100,$104.29,$96.71,$97.33,D,False,0.000739652,0.97840583,0.018780133,0.0020744053
"A company recently moved to a new building. The old building is being actively marketed for sale, and the company expects to complete the sale in four months. Each of the following statements is correct regarding the old building, except:",It will be reclassified as an asset held for sale.,It will be classified as a current asset.,It will no longer be depreciated.,It will be valued at historical cost.,D,False,0.17762361,0.12995222,0.56448674,0.1279375
"Carson owned 40% of the outstanding stock of a C corporation. During a tax year, the corporation reported $400,000 in taxable income and distributed a total of $70,000 in cash dividends to its shareholders. Carson accurately reported $28,000 in gross income on Carson’s individual tax return. If the corporation had been an S corporation and the distributions to the owners had been proportionate, how much income would Carson have reported on Carson’s individual return?","$28,000","$132,000","$160,000","$188,000",C,False,0.018950857,0.6374489,0.2784808,0.065119505
An investment will pay out $10 p.a. forever. What is that investment worth if the market discount rate is 5%?,$100,$2,$500,$200,D,False,0.2850516,0.26362967,0.30343586,0.14788283
"Smith has an adjusted gross income (AGI) of $120,000 without taking into consideration $40,000 of losses from rental real estate activities. Smith actively participates in the rental real estate activities. What amount of the rental losses may Smith deduct in determining taxable income?",$0,"$15,000","$20,000","$40,000",B,False,0.0017547366,0.07119651,0.17348112,0.75356764
Which of the following is an element of a CPA firm's quality control policies and procedures applicable to the firm's accounting and auditing practice?,Engagement performance.,Risk analysis.,Safeguarding of assets.,Information processing.,A,False,0.094101354,0.76365983,0.045150325,0.09708845
"A company predicted that it would manufacture 10,000 units of finished goods during March. The direct labor standards indicated that each unit of finished goods requires 2.4 direct labor hours at a standard wage of $20 per hour, totaling $48.00 per finished good unit. During March, the company actually made 9,000 units of finished goods. Production used 2.5 labor hours per finished unit, and the company actually paid $21 per hour, totaling $52.50 per unit of finished product. What amount is the company's direct labor rate variance for March?","$18,000","$22,500","$25,000","$40,500",B,True,0.018910533,0.67711693,0.22680576,0.07716677
"The full-employment gross domestic product is $1.3 trillion, and the actual gross domestic product is $1.2 trillion. The marginal propensity to consume is 0.8. When inflation is ignored, what increase in government expenditures is necessary to produce full employment?",$100 billion,$80 billion,$20 billion,$10 billion,C,False,0.12226236,0.45425978,0.3825251,0.04095276
Which of the following types of audit evidence provides the least assurance of reliability?,Receivable confirmations received from the client’s customers.,Prenumbered receiving reports completed by the client’s employees.,Prior months’ bank statements obtained from the client.,Municipal property tax bills prepared in the client’s name.,B,False,0.05018711,0.0059939963,0.6114042,0.3324147
During year 2 Pipp Co. incurred the following costs to develop and produce a routine low-risk computer software product: Completion of detailed program design $10000 Costs incurred for coding and testing to establish technological feasibility $15000 Other coding and testing costs incurred after establishment of technological feasibility $44000 In Pipp's December 31 year 2 balance sheet what amount should be capitalized as software cost?,"$10,000","$25,000","$44,000",59000,C,True,0.0043776166,0.027238443,0.90201336,0.066370614
During an engagement to compile the financial statements of a nonissuer an accountant becomes aware that management had stated land at appraised value and that if GAAP had been followed both the land account and stockholders' equity would have been decreased by $1 million a material amount. The accountant decides to modify the standard compilation report because management will not revise the financial statements. Under these circumstances the accountant should,Issue either an adverse opinion or a qualified opinion depending on materiality because of the departure from GAAP.,Add a separate paragraph to the accountant's report that restricts the distribution of the financial statements to ‚Äúinternal use only.‚Äù,Add a separate paragraph to the accountant's report that discloses the departure from GAAP and its effects on the financial statements.,Add a separate paragraph to the accountant's report that explains the underlying purpose of recording assets at historical cost.,C,True,0.0024189074,0.0052833795,0.99122435,0.0010733837
